,,,,,28.7,,,21.7,40.9,,,,,31.9,,,,,24.1,21.9,16.2,,,,,,14.4,,29.2
,15,,,,22.8,35.6,,,,,,,,,,,,4.3,,23.3,,,4.6,,,30.4,14.6,,29.9
,,7.5,15.6,9.9,27.9,,,,,23.1,,,,,,10.5,,,,19.2,12.2,9.4,,,15.8,,14.9,,30
,,,,,24.9,,,,,,,,25.3,26.8,12.5,,,,,,,,,,,27.4,14.2,0.7,31
,,,,,30.5,32.5,,18.3,32.12,,,,,,,,,,,,17.5,,1.6,10.49,,,14.3,,30.7
,,,,11.6,27.6,,,,,25.6,,,,,,,,,25.7,14.6,,,,,,32.1,13.9,,30.6
14.2,14.3,7.3,,,34.2,38.6,,,,,,,,32,,11.9,,,,,,,,,,27.3,21.4,,31.1
,,5.6,,,,,,,,,,8.5,21.9,,12.1,,,,,,,11.7,1.5,,,,12.8,,30
,,,,,44.9,,,31,53,,,,,39.5,,,,,35.4,27.6,28.5,,,,,,21.4,,33.6
,28.4,,,,40.7,45.9,,,,,,,,,,,,,,31.7,,,7.1,,,40.2,20.7,,35.2
,,15.6,25.3,14.6,46.4,,,,,35.3,,,,,,17.1,,,,28.5,20.6,14.4,,,28.7,,22.2,,35
,,,,,35.7,,,,,,,,33.4,38.5,20.4,,,,,,,,,,,36.9,21.4,1,37.3
,,,,,49.3,44.5,,29,45.1,,,,,,,,,,,,28.8,,3,18.79,,,20.4,,38.4
,,,,18,45.5,,,,,38.5,,,,,,,,,36.8,21.9,,,,,,42.4,20.9,,38.8
19.2,26,14.3,,,53.3,48,,,,,,,,37.5,,21.2,,,,,,,,,,37.3,19.2,,40.5
,,11.4,,,,,,,,,,19.1,28.6,,21.7,,,,,,,17,2.9,,,,18.1,,40.1
,,,,,11.4,,,6.8,11.1,,,,,9.2,,,,,7.7,4.2,4.6,,,,,,2.9,,6.7
,4.6,,,,8.9,6.9,,,,,,,,,,,,0.9,,5.1,,,2,,,9.2,2.9,,6.6
,,3.5,5,2.2,9.2,,,,,4.5,,,,,,2.3,,,,3.4,3.8,2.7,,,4.4,,3,,6.4
,,,,,8.9,,,,,,,,6,7,4,,,,,,,,,,,9.6,2.6,0.3,6.9
,,,,,10.4,5.4,,4.6,8.44,,,,,,,,,,,,9.6,,0.3,3.63,,,2.8,,6.8
,,,,4.4,11.1,,,,,4.8,,,,,,,,,7,3.8,,,,,,10.6,2.9,,6.6
3.5,5.1,2.7,,,15.2,5.5,6,,,,,,,14.3,,5.6,,,,,,,,,,10.1,1.2,,7.9
,,1.9,,,,,,,,,,2.3,6.3,,4.9,,,,,,,3.6,0.4,,3.1,,2.1,,7.4
,,,,,23.9,,,13.5,22.1,,,,,19,,,,,15.6,8.6,9.8,,,,,,6.3,,11.7
,10.1,,,,21.6,17.6,,,,,,,,,,,,,,12,,,3.3,,,17,6,,11.2
,,8.3,10.5,4.2,18.5,,,,,11.1,,,,,,5.1,,,,7.9,8.1,5.1,,,10.3,,6.9,,10.5
,,,,,16.1,,,,,,,,10.3,15.4,7.3,,,,,,,,,,,17,6.1,0.4,12.3
,,,,,20.7,13.5,,11.2,17.54,,,,,,,,,,,,17.1,,0.6,7.32,,,6.2,,12.5
,,,,7.9,21.6,,,,,11.1,,,,,,,,,13.7,7,,,,,,19.4,6.8,,12
6.6,11.2,6,,,28.2,13.3,13.6,,,,,,,20.3,,9.9,,,,,,,,,,18.8,4.9,,14.4
,,4.4,,,,,,,,,,5.7,10.4,,9.7,,,,,,,6.7,0.9,,6.9,,4.8,,13.8
,,,,,3.8,,,2.5,6.6,,,,,4.4,,,,,4.5,1.6,2.1,,,,,,0.7,,3.7
,2.6,,,,2.1,2.7,,,,,,,,,,,,0.4,,1.7,,,1,,,6.6,0.9,,
,,2,2.9,1.2,4.4,,,,,2.3,,,,,,0.7,,,,1.5,1.8,1.7,,,2.3,,0.9,,
,,,,,3.1,,,,,,,,2.8,3.3,1.5,,,,,,,,,,,7,0.9,0.2,4.1
,,,,,4.2,2.3,,1.4,4.59,,,,,,,,,,,,5.4,,0.1,1.39,,,1,,3.8
,,,,2.5,4.1,,,,,2.4,,,,,,,,,4.2,1.6,,,,,,7.6,0.9,,3.9
1.7,3.1,1.4,,,8.5,2.2,1.4,,,,,,,6.9,,1.2,,,,,,,,,,7.1,0.8,,4.6
,,1.2,,,,,,,,,,1.2,2.6,,1.8,,,,,,,2.4,0.1,,,,0.6,,4.2
,,,,,8.5,,,4.9,13.5,,,,,8.9,,,,,8.3,3,4.6,,,,,,1.4,,6.1
,5.5,,,,5.3,6.4,,,,,,,,,,,,,,3.3,,,1.7,,,12.2,1.6,,
